recipeID,recipeName,recipeType,recipeMaterialId,recipeMaterial,recipeCount,recipePrepartion,recipeCooking,recipeDescription
114,Yağ Çekmez: Pişi,KAHVALTILIK TARİFLERİ,"['144', '123', '100', '99', '185', '34']","['ılık su', 'toz şeker', 'yaş maya', 'un', 'tuz', 'ayçiçek yağı']",5 kişilik,20 dakika,15 dakika,Ilık su içerisinde 1 yemek kaşığı toz şeker ve 1/2 paket yaş mayayı çözdürün.Karıştırdıktan sonra 10 dakika kadar dinlenmeye bırakın.Dinlenen karışıma 3 su bardağı un ve tuzu harmanlayarak ekleyin ve karıştırmaya devam edin.Kalan unu da azar azar ilave ederek bir yandan da yoğurmaya başlayın.Hamuru 5-10 dakika kadar yoğurun.Hamurun üzerini örtüp oda ısısında bir saat kadar mayalayın.Mayalanan hamuru tezgaha alın ve ceviz büyüklüğünde parçalar koparıp yuvarlayın. Üzerilerine un serptikten sonra elinizle hafifçe bastırarak düzleştirin.Tezgahta 10 dakika daha mayalandırdıktan sonra bir şişe kapağıyla ortalarına delikler açın. Bu sayede pişileriniz daha güzel kabaracaktır.Geniş ve derin bir tavada sıvı yağı kızdırın. Pişileri yavaş yavaş yağa atarak arkalı önlü kızartın. Pişenleri fazla yağını bırakması için bir iki dakika havlu peçete üzerinde dinlendirin.Afiyet olsun.
115,Tüm Sırlarıyla: Kazandibi,SÜTLÜ TATLI TARİFLERİ,"['23', '17', '42', '123', '168', '102', '123']","['süt', 'pirinç unu', 'buğday nişastası', 'toz şeker', 'vanilya', 'tereyağı', 'pudra şekeri']",4 kişilik,15 dakika,35 dakika,"Sübyesi için; bir kasede 2 su bardağı sütü, yarım bardak toz şekeri, buğday nişastasını ve pirinç unu karıştırın. Topak kalmayana kadar çırpıcı yardımıyla çırpın.Geniş bir tencereye kalan 5 su bardağı sütü ve 1 su bardağı şekeri ilave edin. Bir taşım kaynatın. Kaynayan süte yavaş yavaş sübyeyi ilave ederek sürekli karıştırın. Ocağı kısık ateşe getirerek, sürekli karıştırarak muhallebi kıvamına gelene kadar pişirin.Muhallebi koyulaşıp göz göz olduğunda ocaktan alın ve vanilyayı ilave edip tekrar karıştırın. Oda sıcaklığında soğumaya bırakın.Köşeli bir borcamı tereyağıyla yağlayın ve üzerine eşit olacak şekilde pudra şekerini eleyin.Tepsiyi ocak üzerinde çevire çevire karışımı yakın. Tüm şeker eriyip karamelize olunca, tepsinin dibine muhallebiden ince bir kat sürün ve bir tur da muhallebiyle birlikte yakın.Yakma işlemi bittiğinde kalan muhallebiyi de tepsiye dökün. Üzerini bir spatula yardımıyla düzeltin.Buzdolabına kaldırıp kıvam alması için soğuttuğunuz tatlıyı, ince uzun dilimlere ayırın ve spatula yardımıyla kıvırarak rulo şeklinde sarın. Ev yapımı mis kokulu kazandibiniz hazır, afiyet olsun!"
117,En Önemli Sırları Burada: Zeytinyağlı Biber Dolması,ZEYTİNYAĞLI TARİFLERİ,"['39', '3', '107', '17', '196', '144', '1', '137', '185', '38', '123', '127', '191']","['zeytinyağı', 'kuru soğan', 'dolmalık fıstık', 'pirinç', 'orta boy dolmalık biber', 'sıcak su', 'orta boy domates (üzerlerini kapatmak için)', 'kuş üzümü', 'tuz', 'nane', 'toz şeker', 'karabiber', 'yenibahar']",10 adet,30 dakika,45 dakika,"Yarım su bardağı zeytinyağını geniş bir pilav tenceresine alın ve 2 adet yemeklik doğranmış kuru soğan ile birlikte pembeleşinceye kadar kavurun.2 yemek kaşığı dolmalık fıstığı da ekleyip renk alana kadar kavurmaya devam edin.Dolmalık fıstıklar renk aldıktan sonra 1,5 su bardağı yıkanmış pirinci ekleyin ve 2-3 dakika kadar kavurun.1 yemek kaşığı kuş üzümü, 1 tatlı kaşığı tuz, yarım çay kaşığı karabiber, yarım çay kaşığı yenibahar, yarım tatlı kaşığı toz şeker ve 1 tatlı kaşığı naneyi de ekledikten sonra son kez karıştırın.2 su bardağı sıcak suyu ekleyip, pirinçler diri kalacak şekilde 7-8 dakika kadar pişirin ve ocaktan alın.Hazırladığınız dolma harcını, üst kapağını ve iç kısmını çıkardığınız yaklaşık 10- 15 adet dolmalık biberin içerisine doldurun. Ağız kısımlarında şişme ve pişme payı bırakmaya özen gösterin.Hazırladığınız dolmaları tencereye dik bir şekilde dizin.Biberlerin üst kısımlarını ikiye bölünmüş cherry domates ile kapatın.Tencerenin yarısına kadar su doldurun ve üzerlerine zeytinyağı gezdirip kapağını kapatın.Dolmaları,  kısık ateşte pişirme suyu bitip pirinçler şişene kadar yaklaşık 30-35 dakika pişirin. Ilık ya da soğuk olarak servis edin. Afiyet olsun!"
118,Çok Hafif: Kabak Yemeği,ZEYTİNYAĞLI TARİFLERİ,"['5', '3', '96', '39', '1', '1', '17', '144', '185', '127', '35']","['orta boy kabak', 'orta boy kuru soğan', 'sarımsak', 'zeytinyağı', 'büyük boy domates', 'domates salçası', 'pirinç', 'sıcak su', 'tuz', 'karabiber', 'dereotu']",4 kişilik,20 dakika,35 dakika,"4 yemek kaşığı zeytinyağını tencerede kızdırın ve üzerine 1 adet yemeklik doğranmış soğanları ekleyin ve pembeleşinceye kadar kavurun.3 diş doğranmış sarımsak ve yarım tatlı kaşığı domates salçasını ekleyin ve kokusu çıkana kadar kavurun.1 adet büyük boy soyulmuş ve küp soğranmış domatesleri ekleyin ve kavurmaya devam edin.5 adet doğranmış orta boy kabak, 1'er çay kaşığı tuz ve karabiber, 2 yemek kaşığı yıkanmış pirinci ve 2 su bardağı sıcak suyu ekleyip orta ateşte pişmeye bırakın.Piştikten sonra 1 avuç doğranmış dereotu ekleyip karıştırın.Sıcak olarak servis edin afiyet olsun."
119,Etleri Yumuşacık: Alinazik,ET TARİFLERİ,"['102', '96', '178', '189', '195', '185', '24', '6', '185']","['tereyağı', 'sarımsak', 'kuşbaşı et (küçük doğranmış)', 'biber salçası', 'toz kırmızı biber', 'tuz', 'yoğurt', 'közlenmiş patlıcan', 'tuz']",4 kişilik,15 dakika,15 dakika,"Tereyağını derin bir tavanın içine alın. Sarımsağı ilave ederek hafifçe soteleyin.Ardından minik doğranmış kuşbaşı etleri ekleyerek karıştırın, kapağını kapatıp 6-7 dakika kısık ateşte suyunu salıp pişene kadar bırakın.Piştikten sonra salça, toz kırmızı biber ve tuz ekleyerek tatlandırın ve ocaktan alın.Közlenmiş patlıcanları kesme tahtasının üzerinde keskin bir bıçak yardımıyla dövün.Dövme aşamasında üzerine hafifçe tuz atın.İyice ezildiklerinde yoğurtla bir kasenin içinde birleştirin ve güzelce karıştırın.Servis tabağının içerisine yoğurtlu patlıcanlı karışımı alın. Ortasını çukurlaştırın. Hazırladığınız etleri de üzerine yerleştirin. Sosunu ilave ederek servis edin."
120,Zeytinyağlıların Kraliçesi: Barbunya,ZEYTİNYAĞLI TARİFLERİ,"['52', '39', '3', '96', '4', '43', '1', '144', '1', '123', '185', '8', '94']","['taze barbunya', 'zeytinyağı', 'orta boy kuru soğan', 'sarımsak', 'büyük boy patates', 'orta boy havuç', 'orta boy domates', 'sıcak su', 'domates salçası', 'toz şeker', 'tuz', 'maydanoz', 'taze sıkılmış limon suyu (arzuya göre)']",5 kişilik,30 dakika,30 dakika,"Kabuklarını ayıklayıp bol suda yıkadığınız 1 kilogram barbunyayı üzerini geçecek kadar su ilave edin.Orta ateşte 10 dakika kadar haşlayın.1/2 çay bardağı zeytinyağını derin bir tencerede kızdırın.1 adet rendelenmiş soğan ve 2 diş ezilmiş sarımsağı katıp hafif bir renk alana kadar soteleyin.Küp doğranmış 1 adet patates ve 2 adet havucu da ekleyin ve ardından renk vermesi için 1 tatlı kaşığı domates salçasını ilave edip kavumaya devam edin.Haşlanmış barbunyaları da tencereye  ilave ettikten sonra 2 adet rendelenmiş domates ve 1'er tatlı kaşığı tuz ve toz şeker katıp kısık ateşte pişmeye bırakın.Ocaktan aldığınız barbunyayı kapağı kapalı tencerede oda ısısına gelene kadar dinlendirin.Son olarak servis kabına aktardığınız barbunyayı; incecik kıyılmış maydanoz eşliğinde ılık ya da soğuk olarak servis edin, afiyet olsun."
121,Yumuşacık Pişti: Arnavut Ciğeri,ET TARİFLERİ,"['82', '99', '185', '128', '176', '195', '200', '4', '176', '3', '185', '144', '8']","['ciğer', 'un', 'tuz', 'karbonat', 'sıvı yağ', 'toz kırmızı biber', 'toz kişniş', 'patates', 'sıvı yağ', 'kırmızı soğan', 'tuz', 'sumak', 'doğranmış maydanoz']",4 kişilik,20 dakika,10 dakika,"Üzerinde bulunan zarı ayıkladığınız kuzu ciğerini, kuşbaşı büyüklüğünde kesin. Derin bir süzgece aldığınız doğranmış kuzu ciğerlerini kanının süzülmesi için bekletin.Kanını süzdürdüğünüz ciğerleri karbonat ve tuz eklediğiniz una bulayın. Ciğerlerin üzerindeki fazla unu almak için tekrar süzgeçten geçirin.Ciğerleri tavadaki ısınmış yağın içerisine koyun. Ciğerler pişmeye başladığında kırmızı toz biber ve toz kişniş ekleyin. Pişen ciğerlerin fazla yağını süzdürerek bir tabağa aktarın.Ayrı bir tavada kızdırdığınız yağda küp küp doğradığınız patatesleri kızartın ve ciğerlerin olduğu kaseye ekleyin.Piyazlık doğradığınız kırmızı soğanları, 1 çay kaşığı tuz ile ovarak öldürün. Üzerine sumak ve doğranmış maydanozu da ekledikten sonra güzelce karıştırın ve ciğerlerin olduğu kaseye ekleyip diğer malzemelerle birlikte güzelce harmanlayın.Ciğeri servis edeceğiniz tabağa alıp, sevdiklerinizle afiyetle tüketin!"
122,Dışarıda Yedikleriniz Gibi: Terbiyeli İşkembe Çorbası,ÇORBA TARİFLERİ,"['202', '102', '99', '94', '3', '96', '144', '9', '99', '24', '94', '185', '54', '96']","['işkembe', 'tereyağı', 'un', 'limon suyu', 'kuru soğan', 'sarımsak', 'su', 'yumurta sarısı', 'un', 'yoğurt', 'limon suyu', 'tuz', 'sirke', 'sarımsak']",6 kişilik,30 dakika,1 saat,"İyi temizlenmiş 1 kilogram işkembenin üzerini geçecek kadar su ilave edip, işkembeler yumuşayana kadar yaklaşık 40 dakika haşlayın.İşkembe haşlandıktan sonra bir kevgir yardımıyla kaseye aktarın.Ayrı bir tavada 3 yemek kaşığı tereyağını eritip üzerine 3 yemek kaşığı unu ileve edin ve unun kokusu çıkana kadar kavurun.Süzdüğünüz ve ılınmış olan haşlama suyundan tavaya azar azar ekleyin. Unun topaklanmaması için; bir çırpıcı yardımıyla hızlıca karıştırın.Bu karışımı işkembeleri haşladığınız tencerenin içerisine sürekli olarak karıştırarak yavaş yavaş yedirin.Çorbanın terbiyesini hazırlamak için; 4 yemek kaşığı yoğurt, 2 yemek kaşığı un, 1 çay kaşığı tuz, 1 adet yumurta sarısı ve yarım limon suyunu ayr bir kapta çırpın.Terbiye karışımını kaynamakta olan haşlama suyu ile ılıştırdıktan sonra çorba tenceresine azar azar ekleyin ve hızlıca karıştırın.Son olarak; haşlanan işkembeyi çorbaya ilave edin ve kısık ateşte, 15 dakika kadar kaynatarak pişirin.Sarımsakları rendeledikten sonra sirke ile karıştırın. Servis kaselerine aldığınız çorbayı, sarımsaklı sirke ilavesiyle sıcak olarak servis edin. Afiyet olsun!"
123,Tüm Püf Noktalarıyla: Sultan Sarması,SÜTLÜ TATLI TARİFLERİ,"['123', '99', '12', '23', '102', '190', '15', '14']","['toz şeker', 'un', 'kakao', 'süt', 'tereyağ', 'vanilin', 'Hindistan cevizi', 'krem şanti']",8 kişilik,20 dakika,20 dakika,"Bir tencerede un, toz şeker ve kakaoyu karıştırıp, üzerine yavaşça süt ilave edip sürekli karıştırarak orta ateşte pişirin.Koyulaşmaya ve baloncuk çıkarmaya başlayan muhallebinin içerisine tereyağı ekleyin ve tekrar karıştırın.Koyulaşan ve pişen muhallebiyi ocaktan alamadan önce vanilini ekleyip karıştırın ve ocaktan alın.Fırın tepsisine Hindistan cevizini yayın.Muhallebiyi, Hindistan cevizinin üzerine dikkatlice yayın. Bir gün boyunca buzdolabında bekletin.Bir gün bekleyen muhallebiyi 8 eşit dikdörtgen olacak şekilde kesin ve krem şantiyi tüm yüzeye yayın.Bir spatula yardımıyla dikdörtgen parçaları yavaşça rulo haline getirin. Üzerine, arzuya göre Antep fıstığı serpiştirerek servis edin."
124,Hafifliğine Şaşıracaksınız: Kıbrıs Tatlısı,ŞERBETLİ TATLI TARİFLERİ,"['9', '123', '176', '15', '99', '79', '121', '23', '81', '123', '190', '14', '144', '123', '94', '15']","['yumurta', 'toz şeker', 'sıvı yağ', 'Hindistan cevizi', 'galeta unu', 'ceviz içi (ince çekilmiş)', 'kabartma tozu', 'süt', 'mısır nişastası', 'toz şeker', 'vanilin', 'toz krem şanti', 'su', 'toz şeker', 'taze sıkılmış limon suyu', 'Hindistan cevizi']",6 kişilik,20 dakika,30 dakika,"Tatlının şerbeti için; su ve toz şekeri derin bir karıştırma kabına alın. Şeker taneleri eriyene kadar sürekli karıştırdığınız şerbet karışımını kısık ateşte 15 dakika kadar kaynatın.Kıvam alıp şurup kıvamına yaklaşan şerbete limon suyunu ekleyip kestirdikten sonra ocaktan alın. Soğuması için ayrı bir yerde dinlendirin.Tatlının kekini hazırlamak için; oda sıcaklığında beklettiğiniz yumurtaları derin bir karıştırma kabına kırın. Toz şeker ilavesiyle şeker taneleri tamamen eriyene kadar karıştırın.Sırasıyla; sıvı yağ, rendelenmiş Hindistan cevizi, galeta unu, ince çekilmiş ceviz içi ve kabartma tozu ekleyip karıştırma işlemini sürdürün.Pişireceğiniz kalıbı sıvı yağ ile yağlayın. Hazırladığınız kek karışımını eşit olarak yaydıktan sonra önceden ısıtılmış 160 derece fırında 30 dakika kadar pişirin.Üzerine önceden hazırladığınız soğuk şerbeti döküp içine çekmesi için bekletin.Kreması için; süt, nişasta ve toz şekeri derin bir tencereye alıp sürekli karıştırarak orta ateşte pişirin. Muhallebi kıvamına gelen kremayı ocaktan indirmeden önce vanilin ekleyin ve karıştırıp ocaktan alın.Ocaktan aldıktan sonra toz krem şanti ilavesiyle çırparak karıştırın.Krema karışımını, şerbetini çeken tatlının üzerine yayın.Hindistan cevizini de tüm yüzeye serpiştirin.Buzdolabında soğuttuktan sonra süsleyip sevdiklerinizle afiyetle tüketin."
126,Karadeniz Lezzeti: Kuymak,KAHVALTILIK TARİFLERİ,"['102', '81', '144', '188', '72', '185']","['tereyağı', 'mısır unu', 'su', 'kolot peyniri', 'kaynar su', 'tuz']",4 kişilik,2 dakika,10 dakika,"Tereyağını mümkünse bakır bir tavaya alın ve yağ eriyip köpürünce üstüne mısır ununu ekleyin.Mısır ununun rengi dönene dek kavurun. Ardından bir su bardağı suyu ve tuzunu ekleyin.Suyu çekene dek kavurun ve suyu iyice ektikten sonra içine kolot peynirini ilave edin.Peynir tamamen eriyip, suyunu çekene dek karıştırarak kavurun.Peynir de eridikten sonra kaynar suyu ekleyin, suyu çekip uzayan bir kıvam aldığında ocağın altını kısın.Tereyağı hafifçe üstte biriktiği zaman kuymağınız hazır demektir. Sıcak sıcak servis edin."
127,Antakya'dan Sevgilerle: Tepsi Kebabı,ET TARİFLERİ,"['41', '3', '8', '7', '96', '105', '185', '127', '183', '102', '189', '144', '1', '196', '196']","['kıyma (arzuya göre dana/kuzu karışık)', 'soğan', 'maydanoz', 'sivri biber', 'sarımsak', 'kimyon', 'tuz', 'karabiber', 'pul biber', 'tereyağ', 'biber salçası', 'su', 'domates', 'biber', 'kırmızı biber']",8 kişilik,20 dakika,40 dakika,"Bir kapta veya pişireceğiniz tepside kıyma, soğan, maydanoz, sivri biber, sarımsak, kimyon, tuz, karabiber ve pul biberi karıştırıp iyice yoğurun.Malzemeler birbirine iyice karışınca, yuvarlak bir fırın tepsisine kıymalı karışımı iyice yayın ve ellerinizle üzerine bastırarak düzleştirin.Bıçak yardımıyla 8 dilim olacak şekilde dilimleyin.Eritilmiş tereyağını kebabın üzerine dökün ve fırça yardımıyla her yerine gelecek şekilde yayın.Biber salçası ile suyu karıştırın ve karışımı üzerine dökün.Boydan ikiye böldüğünüz biberleri ve dilimlediğiniz domatesleri üzerine güzelce dizin.190 derece fırında 40 dakika pişirin ve sıcak servis edin.Afiyetler olsun!"
129,Pastanelerde Yediklerinizden Farksız: Şekerpare,ŞERBETLİ TATLI TARİFLERİ,"['99', '118', '102', '9', '123', '121', '123', '144', '94', '9']","['un', 'irmik', 'oda sıcaklığında tereyağı', 'yumurta (1 yumurta sarısı ayrılacak)', 'pudra şekeri', 'kabartma tozu', 'toz şeker', 'su', 'limon suyu', 'yumurta sarısı']",1 büyük tepsi,15 dakika,20 dakika,"Şerbet için gerekli malzemeleri bir tencereye aktarın. Şeker eriyip su kaynamaya başladıktan sonra birkaç damla limon suyu ilave edin. Şerbetiniz hazır! Ocaktan alıp soğumaya bırakın.Şekerpare hamuru için gerekli olan un hariç tüm malzemeleri bir kaba aktarın ve güzelce karıştırın.Ardından ununu da azar azar ilave ederek ele yapışmayan, cıvık olmayan bir hamur elde edin.Hazırladığınız hamurdan ceviz büyüklüğünde parçalar koparın. Yağlanmış tepsiye oval şeklini vererek dizin.Üzerine yumurta sarısı sürün ve bir çatal ile üzerine şekil verin.Önceden ısıtılmış 180 derecelik fırında şekerparelerinizi 20 dakika kadar pişirin. Fansız ayar kullanın, pişme süresi fırınınızın performansına göre değişebilir bu nedenle kontrollü pişirin.Ardından fırından şekerparelerinizi alın. Oda sıcaklığında 3-4 dakika kadar dinlendirin. Soğuk şerbeti, sıcak şekerparelerin üzerine azar azar gezdirin. Dağılma riskini bu şekilde azaltmış olursunuz. Şerbeti birden dökmeyin. Azar azar verin.En az 2 saat kadar dinlendirip servis edebilirsiniz. Afiyet olsun."
130,Taş Fırında Pişmiş Gibi: Pizza Hamuru,PİZZA TARİFLERİ,"['100', '144', '123', '99', '185', '39']","['aktif kuru maya', 'ılık su', 'toz şeker', 'ekmeklik un', 'tuz', 'zeytinyağı']",1 adet,20 dakika,20 dakika,"Pizza hamuru hazırlamak için önce kuru maya ve şekeri bir karıştırma kabına alın. Yaklaşık 40-45 derece sıcaklıktaki ılık suyu üzerine ekleyin. Suyunuzun kaynar olmamasına özen gösterin aksi takdirde mayanız tutmayabilir. Karıştırdıktan sonra 5-10 dakika kadar bu şekilde bekletin, mayanın aktifleştiğine emin olun.Un ve tuzu geniş bir kaba alıp güzelce karıştırın. Ardından aktifleşmiş maya karışımını üzerine ekleyin.Tahta bir kaşık yardımıyla karıştırmaya başlayın. Başlarda dağılıyor gibi gelse de yoğurdukça hamur toparlanacaktır.5-10 dakika kadar kabın içerisinde yoğurduktan sonra yapışmayan bir hamur elde edin.Tezgah üzerine un serpip hamuru tezgaha alın ve hamuru iki elinizle alttan sıkıştırıp yuvarlak şeklini verin.Mayalanması için koyacağınız kabın içini ve hamurun dış kısmını zeytinyağı ile yağlayın. Hamuru kaba alıp streç filmle veya mutfak havlusuyla üzerini örtün. Hamur iki katına çıkıncaya dek mayalanmaya bırakın. Soğuk ve sıcak mevsimlerde mayalanma süresi değişebilir bu sebeple hamuru yakından gözlemleyin.İki katına çıkan hamuru açmak için mutlaka un serpili bir tezgaha alın. Eğer pizza taşı kullanmayacaksınız bu aşamada altına yağlı kağıt koyarak da açabilirsiniz. Böylece fırın tepsisine yerleştirirken sıkıntı yaşamazsınız.Hamuru ortadan kenara doğru elinizle hafifçe bastırıp düzleştirin. Ardından nazik hareketlerle kenarlarından çekerek açmaya başlayın.Dilerseniz bu aşamada hafifçe merdaneyle de açıp yuvarlak şeklini verin. Kenarlarına kalın rustik şekil vermek isterseniz, parmaklarınızla hamuru resimde gösterildiği gibi çevirip kilitleyebilirsiniz.Hamur dilediğiniz boyuta ulaştıktan sonra pizza taşına veya fırın tepsisine alıp arzu ettiğiniz pizza tarifine uygun şekilde malzemelerle  kullanabilirsiniz. Fırını önceden 220-230 dereceye ısıtmayı, fansız fırın kullanmayı ve kontrollü pişirmeyi unutmayın! Afiyet olsun!"
131,Tek Başına Güzel: Yeşil Mercimek Yemeği,BAKLİYAT TARİFLERİ,"['74', '144', '39', '3', '1', '185', '127', '183', '144', '94']","['yeşil mercimek (önceden ıslatılmış)', 'su', 'zeytinyağı', 'orta boy kuru soğan', 'domates salçası', 'tuz', 'karabiber', 'pul biber', 'su', 'limonun suyu']",4 kişilik,10 dakika,30 dakika,"1,5 su bardağı yeşil mercimeği yıkayıp suyunu süzdükten sonra derin bir tencereye alın.Üzerini bir parmak geçecek kadar su ilavesiyle kısık ateşte yumuşayana kadar haşlayın.4 yemek kaşığı zeytinyağını ayrı bir tencerede kızdırın. 1 adet yemeklik doğranmış kuru soğanı, hafif bir renk alana kadar soteleyin.1,5 yemek kaşığı domates salçasını ve haşlanmış yeşil mercimekleri kattıktan sonra soteleme işlemine kısa bir süre daha devam edin.Üzerine 2,5 su bardağı su ve çeyrek limon suyunu ilave edin ve karıştırıp kapağı kapalı bir şekilde pişmeye bırakın. Ocaktan almaya yakın yarım tatlı kaşığı tuz, birer çay kaşığı pul biber ve karabiber ekleyin.Kıvam alan ve hafif sulu bir yapıda olan yeşil mercimek yemeğini sıcak ya da ılık olarak servis edin."
133,Çıtır Çıtır Olsun: Yağ Çekmeyen Çiğ Börek (Çi börek),BÖREK TARİFLERİ,"['99', '144', '185', '54', '41', '3', '185', '127', '144', '176']","['un', 'ılık su', 'tuz', 'sirke', 'kıyma', 'rendelenmiş soğan', 'tuz', 'karabiber', 'su', 'sıvı yağ']",6 kişilik,20 dakika,15 dakika,"Bir karıştırma kabının içinde 300 gram kıyma, 1 adet soğan rendesi, 1 tatlı kaşığı karabiber, 1 tatlı kaşığı tuz ve yarım çay bardağı suyu karıştırın.Harcınızın sulu olmasına özen gösterin.Bir kabın içerisinde 1 su bardağı ılık su, 3 su bardağı un, 1 tatlı kaşığı tuz ve 2 tatlı kaşığı üzüm ya da elma sirkesini karıştırın.Orta yumuşaklıkta bir hamur elde edene kadar yoğurun.Hamurunuzu un serptiğiniz tezgaha alıp bezelere ayırın.Bir merdane yardımıyla orta büyüklükte bir tabak boyutunda açın. (Çiğ böreğinizin çıtır çıtır olmasını istiyorsanız hamurunuzu ince, daha dolgun olmasını istiyorsanız orta kalınlıkta açın.)Kıymalı harcınızı açtığınız hamura yerleştirip katlayın.Kenarlarının iyice yapışmasını sağlamak için bir kapak ya da pizza kesiciyle düzgünce kesin.Hepsini bu şekilde hazırlayın.Bu sayede, börekleriniz kızarırken kenarları açılmayacaktır. Derin bir tavaya yağı alın ve güzelce kızdırın.Kızmış yağa börekleri atarak kızartın ve kızaran böreklerinizi fazla yağı emmesi için bir kağıt havlu üzerine alın. Afiyet olsun."
134,Kremasız da Olur: Sütlü Mantar Çorbası,ÇORBA TARİFLERİ,"['76', '3', '102', '176', '99', '23', '144', '185', '127']","['mantar', 'soğan', 'tereyağı', 'sıvı yağ', 'un', 'süt', 'su', 'tuz', 'iri çekilmiş karabiber']",4 kişilik,15 dakika,25 dakika,"Öncelikle mantarları ince ince kesin.Yağsız tencerede mantarlar suyunu salıp çekene kadar pişirin. Soğanları küp küp doğrayın, yağınızı da tencereye ekleyip mantar ve soğanı kavurun.Unu da ilave edin ve un kokusu çıkana kadar kavurun. Yaklaşık bir litre kaynamış suyu ekleyin ve durmadan karıştırın. Göz göz kaynamaya başlayınca sütü ilave ederek altını iyice kısın.Baharatları bu aşamada ekleyin. Afiyet olsun."
135,"Sütsüz, Kremasız: Brokoli Çorbası",ÇORBA TARİFLERİ,"['58', '144', '39', '102', '99', '185', '127']","['brokoli', 'su', 'zeytinyağı', 'tereyağı', 'un', 'tuz', 'karabiber']",4 kişilik,10 dakika,20 dakika,"Küçük parçalara ayırdığınız brokoliyi haşlayın. Brokoliler haşlandıktan sonra bir kevgir yardımıyla çıkartın ve suyunu bir kenara ayırın.Ardından derin bir tencerede zeytinyağı ve tereyağını eritin. Unu üzerine ekleyin ve kokusu çıkıp, hafif renk alana kadar kavurun.Kavrulan una brokoliyi haşladığınız suyu azar azar ekleyin ve topaklanmaması için bir çırpma teliyle sürekli karıştırın. Bu şekilde 2-3 dakika kaynattıktan sonra haşlayıp süzdürdüğünüz brokolileri suyun içerisine ekleyin.Çorbayı, pürüzsüz bir kıvam alması için el blenderından geçirin ve son olarak üzerine tuzla, yarım çay kaşığı karabiberi ekleyip karıştırın.Brokoli çorbasını bir taşım kaynatıp ocağın altını kapatın ve sıcak olarak servis edin. Afiyet olsun!"
136,O Bir Kurtarıcı: Fırında Köfte Patates,KÖFTE TARİFLERİ,"['4', '3', '1', '195', '41', '3', '9', '46', '8', '185', '127', '105', '191', '34', '1', '144', '185']","['orta boy patates', 'orta boy kuru soğan', 'orta boy domates', 'orta boy kırmızı biber', 'orta yağlı dana kıyma', 'rendelenmiş kuru soğan', 'yumurta', 'galeta unu (arzuya göre bayat ekmek içi)', 'maydanoz', 'tuz', 'karabiber', 'kimyon', 'yenibahar', 'ayçiçek yağı (arzuya göre zeytinyağı)', 'domates salçası', 'sıcak su', 'tuz']",4 kişilik,30 dakika,45 dakika,"Köfteleri hazırlamak için; 500 gram orta yağlı kıymayı derin bir karıştırma kabına alın. 1 adet rendelenmiş kuru soğan, 2 yemek kaşığı galeta unu, 1 adet yumurta, 1 avuç kıyılmış maydanoz yaprakları   ilave edin.Birer çay kaşığı karabiber, yenibahar, tuz ve kimyon ekleyin.Köftenin harcını güzelce yoğurmaya başlayın.Hazırladığınız köfte harcından parçalar koparıp elinizle yuvarlak şekil verdiğiniz köfteler hazırlayın.Sosu için; 2 yemek kaşığı ayçiçek yağını küçük bir sos tenceresinde kızdırın.1 yemek kaşığı domates salçasını ekleyip kısa süre kavurun. 2 adet rendelenmiş domatesi de üzerine ilave edin ve 5 dakika kadar pişirin.Yarım ay şeklinde doğradığınız 1 adet kuru soğanı ve elma dilim kesilmiş 3 adet patatesi fırın kabının tabanına yayın. Köfteleri de üzerlerine yerleştirin.Son olarak 2 adet küp doğranmış kırmızı biber küpleri ve hazırladığınız domates sosunu da köftelerin üzerine yayın.Ardından önceden ısıtılmış 180 derece fırında, 35- 40 dakika,  üzerleri hafif kızarana kadar pişirin ve sıcak olarak servis edin. Afiyet olsun."
138,Şekeri Hurmasından: Kakaolu Yulaf Kepeği Topları,TATLI ATIŞTIRMALIK TARİFLERİ,"['10', '134', '89', '59', '47', '12', '123', '23', '163']","['hurma', 'günkurusu kayısı', 'muz', 'yulaf kepeği', 'dövülmüş fındık', 'kakao', 'şekersiz çikolata', 'süt', 'tarçın']",12 adet,15 dakika,0 dakika,"Hurmalarınız çok kuruysa işe hurmaları yumuşatarak başlayın.Bir kasenin içine hurma ve sıcak suyu koyun. Yaklaşık 6-7 dakika bekletikten sonra suyun içinden çıkarın.Yumuşayan hurmaların çekirdeklerini çıkarın.Günkurusu kayısıları minik minik doğrayın.Çikolatayı eritin.Hurma, muz, süt ve kayısıları rondodan geçirin.Ardından içerisine yulaf kepeği, tarçın ve kakao ilave ederek birkaç kez daha rondoyu çalıştırın.Son olarak içerisine fındıkları ekleyerek bir kaşık yardımıyla birbirine yedirin.Elinizi hafifçe ıslatın ve hazırladığınız harçtan minik parçalar alarak yuvarlayın.Tüm harca bu işlemi uygulayın ve bittikten sonra bir tabağa alın ve buzdolabında soğumaya bırakın. Birkaç saat sonra çıkarıp afiyetle yiyin."
